PRODUCT,EQUIPMENT,RECIPE,PROCESS_TEMP,PROCESS_TIME,SENSOR_A,SENSOR_B,QUALITY_VALUE
P_A,EQ_B,R1,431.672,50.783,56.535,17.571,108.246
P_C,EQ_B,R1,430.707,71.463,49.785,20.135,105.99
P_A,EQ_A,R2,436.353,53.278,54.545,20.187,99.012
P_C,EQ_C,R1,430.949,62.113,52.431,21.531,98.843
P_A,EQ_A,R1,431.108,69.703,,16.434,105.885
P_C,EQ_C,R2,436.118,62.802,54.783,22.071,105.034
P_C,EQ_A,R2,441.77,64.51,58.617,20.609,104.591
P_B,EQ_C,R1,431.773,69.716,49.386,21.584,102.495
P_B,EQ_C,R1,432.373,62.333,51.665,24.199,105.005
P_A,EQ_B,R2,434.787,72.21,53.657,22.141,106.857
P_A,EQ_C,R1,428.877,51.64,47.436,23.713,99.326
P_A,EQ_B,R1,432.548,61.526,54.541,18.992,100.16
P_A,EQ_C,R1,431.793,58.388,53.202,24.233,101.78
P_A,EQ_B,R2,432.699,64.338,46.458,20.242,98.792
P_B,EQ_C,R2,436.604,57.81,52.16,22.561,112.17
P_A,EQ_C,R1,422.711,56.398,46.767,22.819,97.283
P_C,EQ_A,R1,429.16,55.803,49.182,22.171,99.507
P_B,EQ_A,R2,436.83,66.214,52.179,20.67,108.412
P_B,EQ_B,R1,431.418,53.686,51.32,17.523,106.917
P_A,EQ_B,R1,431.71,67.076,55.974,20.191,107.051
P_A,EQ_A,R1,,56.953,46.799,16.576,98.058
P_A,EQ_A,R2,434.241,60.313,56.084,20.278,104.12
P_C,EQ_A,R1,432.156,66.489,53.479,20.87,99.05
P_B,EQ_A,R1,436.321,58.447,54.293,20.411,103.868
P_A,EQ_B,R1,430.281,60.299,51.782,19.28,105.353
P_B,EQ_B,R2,441.372,62.124,59.269,,111.214
P_C,EQ_B,R2,439.258,72.767,56.674,20.903,99.885
P_C,EQ_B,R2,435.952,71.617,57.21,16.96,108.414
P_C,EQ_A,R1,433.728,60.766,53.194,20.024,99.274
P_B,EQ_C,R1,426.079,65.718,45.47,22.096,105.714
P_B,EQ_B,R1,427.075,57.55,43.829,20.86,101.379
P_C,EQ_B,R2,437.55,65.451,56.998,17.902,105.706
P_B,EQ_A,R1,435.314,55.294,56.487,23.804,108.341
P_A,EQ_B,R1,430.243,64.834,50.096,19.569,104.084
P_A,EQ_B,R2,438.97,68.695,54.064,18.424,105.362
P_C,EQ_B,R2,439.465,71.417,58.269,20.989,109.908
P_B,EQ_B,R1,430.16,57.825,53.887,18.997,110.589
P_B,EQ_B,R1,427.871,58.354,47.932,21.331,104.657
P_B,EQ_B,R2,431.776,57.476,49.515,19.609,103.238
P_B,EQ_B,R2,434.974,48.016,51.308,18.633,105.626
P_A,EQ_B,R1,423.57,63.725,42.953,20.44,96.171
P_B,EQ_C,R1,435.547,60.038,49.256,23.681,104.096
P_A,EQ_C,R2,439.622,57.723,55.465,21.731,109.099
P_A,EQ_A,R2,434.258,67.908,50.201,20.131,101.631
P_A,EQ_A,R1,430.308,64.703,50.513,19.448,100.082
P_A,EQ_B,R1,424.021,53.695,48.734,19.815,102.524
P_A,EQ_A,R1,433.222,70.166,53.338,17.992,100.222
P_A,EQ_C,R2,435.475,62.221,51.012,23.259,104.031
P_A,EQ_A,R2,435.865,59.783,53.037,19.858,101.249
P_B,EQ_B,R2,434.575,54.566,48.672,21.337,102.398
P_C,EQ_C,R2,437.364,69.891,57.182,20.397,111.351
P_B,EQ_C,R2,442.348,62.992,62.662,23.415,119.338
P_A,EQ_B,R1,429.467,55.433,49.859,22.296,101.663
P_A,EQ_A,R2,435.584,60.146,53.853,19.301,101.323
P_C,EQ_C,R1,424.382,60.425,46.491,21.665,93.546
P_B,EQ_B,R2,443.984,63.761,61.1,21.424,117.469
P_A,EQ_B,R1,433.143,65.46,51.313,21.268,103.434
P_A,EQ_B,R2,445.759,60.358,58.436,22.752,109.291
P_A,EQ_A,R2,427.789,64.226,48.107,21.485,101.847
P_A,EQ_B,R2,434.538,68.414,55.481,20.842,108.903
P_C,EQ_B,R1,431.462,65.987,52.823,21.973,99.352
P_A,EQ_C,R1,434.693,62.088,50.164,22.214,100.681
P_B,EQ_B,R2,438.349,62.057,53.532,21.184,108.908
P_B,EQ_B,R1,439.04,54.228,54.985,23.722,110.068
P_A,EQ_A,R2,436.619,58.533,58.568,17.928,107.233
P_B,EQ_C,R1,,62.082,43.557,23.967,101.982
P_C,EQ_B,R1,429.458,63.556,49.53,20.405,100.165
P_B,EQ_A,R1,432.585,54.339,49.867,21.939,
P_B,EQ_A,R1,437.127,58.111,55.98,20.076,105.988
P_A,EQ_C,R2,441.4,62.377,57.441,23.272,111.806
P_A,EQ_A,R2,429.266,59.414,50.773,22.514,104.874
P_B,EQ_B,R1,433.674,56.073,53.342,21.224,108.722
P_B,EQ_A,R2,438.1,60.419,58.826,20.707,107.17
P_A,EQ_B,R1,429.572,64.908,49.298,21.323,106.758
P_B,EQ_C,R1,428.592,53.709,46.964,21.057,99.943
P_C,EQ_B,R1,426.793,65.33,49.798,20.7,100.906
P_B,EQ_B,R1,435.343,51.543,51.224,17.935,107.948
P_C,EQ_B,R2,438.502,56.325,55.518,19.504,104.335
P_A,EQ_A,R1,433.943,52.718,49.346,20.409,95.4
P_B,EQ_B,R2,434.934,54.167,51.479,17.86,108.214
P_B,EQ_A,R1,426.841,62.045,49.565,18.579,102.681
P_B,EQ_B,R1,432.93,59.33,51.887,20.049,104.32
P_A,EQ_C,R1,432.743,62.365,54.121,22.423,102.987
P_A,EQ_C,R2,436.151,59.089,52.664,22.753,107.766
P_A,EQ_C,R2,438.893,53.982,57.646,24.343,110.687
P_A,EQ_B,R2,440.004,62.95,57.932,20.7,106.86
P_A,EQ_C,R1,431.62,62.184,52.093,23.551,103.118
P_B,EQ_B,R1,442.673,52.883,56.579,21.269,111.216
P_C,EQ_A,R1,429.66,59.15,51.629,20.045,96.895
P_C,EQ_A,R1,425.152,58.364,47.051,17.688,96.324
P_A,EQ_B,R1,437.444,57.165,56.563,19.724,111.242
P_B,EQ_C,R2,440.055,58.859,57.894,22.716,115.225
P_B,EQ_A,R1,435.877,64.003,52.544,,107.293
P_C,EQ_A,R1,427.981,60.272,52.501,23.685,101.437
P_B,EQ_B,R2,439.646,61.09,54.269,21.522,112.448
P_A,EQ_B,R1,427.816,61.711,50.002,22.42,102.911
P_A,EQ_A,R1,431.219,58.261,53.301,20.143,102.402
P_A,EQ_A,R2,441.964,64.123,56.059,19.6,104.301
P_C,EQ_B,R2,433.38,65.256,53.135,19.264,104.31
P_C,EQ_B,R2,437.792,64.372,53.318,19.937,106.552
P_B,EQ_B,R1,427.789,54.141,48.892,19.314,106.087
P_B,EQ_A,R1,421.986,59.146,42.661,17.965,99.5
P_C,EQ_C,R2,425.859,64.448,51.402,23.627,103.608
P_C,EQ_A,R1,425.655,55.545,45.735,19.373,95.256
P_A,EQ_B,R2,431.222,60.137,50.082,21.241,105.905
P_C,EQ_B,R1,434.338,64.674,51.809,18.285,103.226
P_A,EQ_C,R1,424.963,70.482,46.2,20.881,99.172
P_C,EQ_C,R2,437.057,70.664,54.695,23.457,106.151
P_B,EQ_B,R1,433.814,53.657,52.016,21.072,108.095
P_C,EQ_A,R1,430.564,65.003,54.262,17.393,99.984
P_B,EQ_C,R1,429.412,56.495,47.706,26.605,101.583
P_A,EQ_A,R1,429.771,47.141,48.373,20.064,99.378
P_A,EQ_A,R1,426.708,55.169,47.427,19.36,99.729
P_A,EQ_B,R2,437.425,61.042,52.913,20.533,103.798
P_A,EQ_A,R2,437.908,56.127,53.416,19.201,103.219
P_C,EQ_A,R1,424.501,64.187,41.876,19.633,94.214
P_B,EQ_C,R1,427.858,59.138,46.828,20.815,103.029
P_B,EQ_A,R2,429.752,60.167,51.481,18.554,103.16
P_A,EQ_C,R1,430.443,63.004,50.99,22.712,105.176
P_A,EQ_C,R2,432.15,49.862,53.917,22.098,105.654
P_B,EQ_A,R1,426.422,57.929,48.021,21.074,101.649
P_B,EQ_A,R2,433.091,58.828,50.299,19.701,103.091
P_A,EQ_C,R2,437.357,64.107,54.876,23.594,107.859
P_B,EQ_C,R1,428.809,59.006,49.916,22.3,106.035
P_A,EQ_A,R2,429.097,53.97,48.376,20.119,98.124
P_B,EQ_C,R1,425.963,49.252,48.202,22.652,103.15
P_B,EQ_A,R1,429.114,58.786,52.253,19.664,106.798
P_A,EQ_A,R2,434.197,69.31,52.803,19.372,128.286
P_A,EQ_A,R2,434.062,63.743,52.608,17.891,102.176
P_B,EQ_C,R2,431.408,56.247,48.5,24.587,111.246
P_B,EQ_C,R2,433.88,63.137,47.949,23.176,107.663
P_B,EQ_C,R1,431.541,59.727,50.716,22.422,105.182
P_A,EQ_C,R2,438.157,60.356,,21.811,109.441
P_B,EQ_A,R2,435.665,57.766,52.93,19.472,
P_A,EQ_C,R2,439.806,47.637,54.927,21.38,108.316
P_A,EQ_B,R1,429.593,63.882,48.247,20.814,106.031
P_C,EQ_C,R1,433.794,66.046,54.303,24.374,98.084
P_A,EQ_B,R2,441.042,49.797,,20.911,105.78
P_C,EQ_C,R1,425.964,68.385,47.129,22.024,95.707
P_B,EQ_A,R2,441.005,62.76,53.646,21.791,105.465
P_B,EQ_A,R1,426.586,60.157,49.003,18.025,103.65
P_C,EQ_A,R2,432.523,62.513,51.836,19.458,99.057
P_B,EQ_B,R1,431.364,66.979,54.752,21.135,110.738
P_C,EQ_C,R1,431.802,67.347,50.685,24.758,96.089
P_C,EQ_A,R2,435.926,66.008,54.863,22.142,100.381
P_B,EQ_A,R1,,51.948,49.269,19.368,103.441
P_A,EQ_A,R2,439.864,56.652,53.283,16.057,99.857
P_B,EQ_A,R1,434.39,57.314,53.041,21.277,72.435
P_A,EQ_C,R1,427.388,48.119,45.251,22.816,
P_C,EQ_C,R2,440.978,65.48,57.218,21.59,107.172
P_C,EQ_A,R1,424.528,62.037,45.814,20.336,95.049
P_A,EQ_C,R1,432.639,56.98,51.539,23.57,99.44
P_B,EQ_B,R1,421.681,54.539,44.995,17.364,104.78
P_A,EQ_B,R2,435.648,60.971,55.562,19.675,104.379
P_B,EQ_B,R1,428.746,57.909,46.565,18.951,102.898
P_B,EQ_A,R1,434.417,61.922,53.352,19.377,104.076
P_A,EQ_A,R1,433.0,55.146,53.584,21.992,102.744
P_A,EQ_B,R1,425.051,58.593,46.914,21.423,102.081
P_A,EQ_B,R1,427.217,63.735,50.794,22.14,103.786
P_C,EQ_A,R1,435.167,70.271,53.498,20.017,98.609
P_A,EQ_C,R1,429.69,57.41,51.256,21.649,100.919
P_A,EQ_C,R1,433.065,62.82,50.487,25.718,97.985
P_C,EQ_C,R1,433.79,65.996,51.627,23.944,98.245
P_C,EQ_A,R1,431.609,65.616,48.767,19.736,97.019
P_A,EQ_C,R2,435.521,60.647,53.317,23.033,107.961
P_A,EQ_C,R2,439.527,64.398,53.687,23.175,107.126
P_B,EQ_A,R1,426.573,59.494,50.396,20.236,101.846
P_B,EQ_B,R1,432.825,52.852,52.055,21.209,106.821
P_B,EQ_B,R2,438.702,61.157,58.967,19.84,114.415
P_A,EQ_C,R1,433.002,48.052,59.044,25.606,105.155
P_A,EQ_B,R1,431.077,60.701,51.126,20.141,98.064
P_A,EQ_A,R2,438.726,58.254,55.246,18.226,106.757
P_C,EQ_A,R1,429.326,66.583,51.39,19.69,98.56
P_B,EQ_A,R1,424.407,63.752,46.464,20.24,98.322
P_C,EQ_B,R1,431.117,58.465,50.68,20.553,99.362
P_C,EQ_B,R1,425.364,61.93,49.152,18.383,99.993
P_A,EQ_B,R2,428.98,58.015,49.981,21.437,102.472
P_B,EQ_A,R2,436.878,56.714,56.224,20.762,105.442
P_A,EQ_C,R2,432.015,66.541,51.774,23.622,108.436
P_B,EQ_B,R2,440.148,53.762,57.949,19.089,116.166
P_B,EQ_C,R2,438.509,61.19,52.386,22.532,106.986
P_C,EQ_B,R2,435.916,67.175,52.024,21.245,101.288
P_A,EQ_C,R2,435.495,61.524,51.515,20.858,107.946
P_C,EQ_B,R1,427.891,60.474,50.008,20.888,98.633
P_B,EQ_B,R1,428.837,54.534,47.781,21.074,104.393
P_A,EQ_C,R1,434.378,57.419,54.163,25.388,101.143
P_A,EQ_C,R1,427.856,56.1,49.569,22.39,103.447
P_A,EQ_B,R1,431.551,62.466,51.197,19.873,101.741
P_B,EQ_B,R1,423.038,55.605,47.507,17.583,102.909
P_B,EQ_B,R1,431.794,59.887,50.306,20.382,109.029
P_C,EQ_B,R2,435.364,76.29,,17.432,103.166
P_C,EQ_C,R1,432.294,63.826,51.397,21.974,98.778
P_C,EQ_B,R2,442.928,63.453,59.72,23.168,107.327
P_A,EQ_C,R1,431.35,64.93,47.936,19.694,96.933
P_B,EQ_A,R2,435.762,59.866,57.176,17.009,110.202
P_C,EQ_B,R1,433.3,65.678,50.79,16.474,104.13
P_C,EQ_B,R2,433.42,56.639,53.483,19.613,102.281
P_C,EQ_A,R1,431.812,63.718,48.006,17.45,
P_C,EQ_A,R1,432.402,64.103,50.322,21.462,96.912
P_C,EQ_A,R1,432.885,62.488,51.666,19.332,96.567
P_B,EQ_A,R1,439.076,62.649,55.953,19.387,110.354
P_B,EQ_C,R1,428.688,57.036,49.417,22.936,103.756
P_B,EQ_C,R1,430.301,55.18,50.162,20.981,103.036
P_B,EQ_B,R2,435.71,55.722,52.162,21.379,107.843
P_A,EQ_C,R2,442.402,63.143,60.673,21.496,110.183
P_A,EQ_B,R1,429.545,61.668,53.073,19.256,103.943
P_A,EQ_C,R1,,61.016,53.501,20.296,104.665
P_B,EQ_C,R1,431.966,67.374,50.797,22.245,103.15
P_A,EQ_B,R1,431.962,56.746,53.148,,105.663
P_C,EQ_A,R1,426.429,68.616,48.605,20.349,96.0
P_A,EQ_B,R2,440.112,68.974,57.746,16.907,108.264
P_A,EQ_A,R1,426.959,61.747,52.122,19.127,101.818
P_A,EQ_A,R2,431.574,64.724,49.752,19.942,98.844
P_A,EQ_B,R1,431.752,59.796,52.198,19.338,104.686
P_A,EQ_B,R1,429.604,54.707,51.112,20.195,102.6
P_A,EQ_C,R1,420.739,56.111,43.791,23.021,97.24
P_B,EQ_C,R1,433.77,53.673,50.034,22.967,102.458
P_C,EQ_B,R1,425.368,65.197,46.352,18.747,100.117
P_A,EQ_C,R2,440.823,58.533,57.816,24.465,108.321
P_A,EQ_C,R2,438.029,60.197,58.006,21.198,107.209
P_C,EQ_B,R2,439.135,66.529,55.061,21.125,104.007
P_A,EQ_A,R1,425.914,58.809,46.811,18.856,96.41
P_A,EQ_B,R1,433.834,66.326,55.597,22.384,106.068
P_A,EQ_C,R1,436.408,55.516,56.011,20.884,106.571
P_A,EQ_C,R1,428.066,55.398,51.033,24.58,97.06
P_A,EQ_A,R1,429.96,63.677,46.904,18.343,96.036
P_C,EQ_C,R1,425.984,62.261,45.91,22.201,91.485
P_A,EQ_C,R1,434.775,59.3,52.888,22.398,104.626
P_C,EQ_C,R1,427.721,72.621,44.986,21.283,93.994
P_B,EQ_C,R1,422.034,61.376,42.447,26.083,
P_B,EQ_B,R1,433.265,60.346,50.774,20.835,111.455
P_B,EQ_C,R1,432.325,57.292,54.381,23.206,105.808
P_C,EQ_B,R1,470.459,62.667,54.008,19.213,105.587
P_B,EQ_B,R1,425.703,62.173,45.714,18.137,105.422
P_A,EQ_A,R1,430.201,56.895,,18.735,101.982
P_C,EQ_B,R2,439.791,65.288,54.122,19.909,102.799
P_C,EQ_A,R2,433.029,71.306,50.107,16.315,100.391
P_B,EQ_B,R1,426.652,56.24,46.826,20.838,104.158
P_A,EQ_A,R2,434.323,63.985,54.597,21.687,104.062
P_B,EQ_A,R2,432.554,50.946,51.858,20.133,106.058
P_A,EQ_C,R2,439.309,61.905,54.515,20.645,109.49
P_C,EQ_A,R2,,65.644,54.188,22.846,100.208
P_A,EQ_B,R1,,67.734,51.48,19.022,107.075
P_C,EQ_A,R1,424.339,62.317,45.357,19.967,93.579
P_C,EQ_B,R1,433.328,62.538,47.98,20.321,104.411
P_B,EQ_A,R1,427.112,69.01,46.548,17.068,100.699
P_A,EQ_C,R2,437.376,69.007,59.818,20.797,115.133
P_B,EQ_C,R1,427.714,62.944,47.108,25.625,104.455
P_A,EQ_A,R1,429.831,63.921,48.624,20.555,99.808
P_A,EQ_B,R1,428.59,74.965,52.409,18.39,106.429
P_B,EQ_B,R1,434.255,58.634,51.062,18.39,112.684
P_B,EQ_B,R1,438.163,64.49,56.544,18.977,111.281
P_B,EQ_C,R1,428.138,60.087,49.686,23.012,102.249
P_A,EQ_C,R2,437.063,62.356,54.196,23.422,110.816
P_A,EQ_B,R2,435.408,56.306,55.197,20.222,108.291
P_A,EQ_A,R1,427.289,56.584,52.949,20.462,99.056
P_A,EQ_B,R1,431.971,54.55,50.501,21.131,106.574
P_A,EQ_C,R1,428.182,62.608,49.642,22.953,96.295
P_A,EQ_C,R1,436.177,60.147,54.945,23.131,102.976
P_A,EQ_A,R1,431.859,59.916,,22.819,107.03
P_B,EQ_A,R1,432.066,65.141,50.699,22.318,105.524
P_A,EQ_A,R1,429.735,68.171,49.677,20.484,99.885
P_B,EQ_A,R1,436.212,66.048,51.577,20.902,105.475
P_B,EQ_A,R1,424.636,63.744,45.339,19.762,104.675
P_C,EQ_B,R1,431.321,64.113,52.072,21.474,103.531
P_B,EQ_C,R1,428.27,59.342,48.451,24.116,104.222
P_B,EQ_B,R2,441.849,57.443,57.836,19.619,111.143
P_A,EQ_C,R2,438.916,58.663,57.191,21.106,110.68
P_C,EQ_B,R2,432.691,66.103,50.618,18.803,100.717
P_B,EQ_B,R2,438.656,57.254,54.597,18.196,112.31
P_C,EQ_C,R2,435.423,64.527,54.057,26.538,108.921
P_A,EQ_B,R1,432.88,63.604,51.391,20.18,107.038
P_B,EQ_A,R2,440.823,59.23,58.968,20.754,110.09
P_A,EQ_A,R2,432.212,58.871,51.489,20.438,99.695
P_B,EQ_C,R1,425.894,62.223,50.37,22.289,104.658
P_A,EQ_C,R1,439.967,56.643,55.817,23.982,103.681
P_B,EQ_B,R2,435.165,50.442,50.644,20.623,105.7
P_A,EQ_A,R1,429.749,61.168,48.418,17.947,97.623
P_C,EQ_C,R2,436.366,64.113,54.97,23.231,104.469
P_B,EQ_C,R2,434.972,53.794,48.169,21.019,103.657
P_C,EQ_A,R1,429.303,65.352,51.125,21.103,101.111
P_A,EQ_B,R1,423.85,62.62,45.777,16.757,100.938
P_A,EQ_B,R1,464.821,63.436,49.622,18.324,102.774
P_B,EQ_A,R1,422.027,56.748,46.554,20.277,101.486
P_B,EQ_A,R1,431.479,65.418,51.735,18.516,106.389
P_B,EQ_A,R1,424.866,58.321,,20.032,130.42
P_A,EQ_C,R1,423.684,57.546,43.446,23.688,94.415
P_B,EQ_A,R1,423.5,48.542,48.22,20.99,101.982
P_A,EQ_A,R2,434.741,65.394,55.616,20.815,103.166
P_A,EQ_B,R1,429.236,62.299,50.117,20.661,105.919
P_C,EQ_C,R2,435.567,62.027,55.653,22.122,105.468
P_C,EQ_B,R1,431.844,67.182,49.024,19.317,102.731
P_C,EQ_C,R1,430.352,77.824,49.711,24.563,98.5
P_A,EQ_B,R1,429.314,52.59,48.372,19.541,103.563
P_A,EQ_A,R1,432.081,56.661,55.356,18.601,100.653
P_B,EQ_C,R1,422.255,56.832,45.243,23.534,102.208
P_B,EQ_A,R1,429.558,61.317,46.478,18.627,102.648
P_A,EQ_C,R1,429.91,58.667,51.837,21.514,99.032
P_B,EQ_B,R1,424.549,48.803,46.619,19.071,104.062
P_C,EQ_C,R2,426.778,66.506,48.625,23.022,102.105
P_B,EQ_C,R2,433.031,56.175,52.927,21.247,111.749
P_B,EQ_B,R1,433.928,48.784,49.339,18.491,102.463
P_A,EQ_A,R1,430.844,57.568,55.9,21.201,104.071
P_B,EQ_C,R1,422.271,62.269,43.84,23.05,101.3
P_B,EQ_A,R1,438.48,63.932,54.448,19.183,105.796
P_B,EQ_A,R2,432.446,66.464,48.985,20.16,102.062
P_B,EQ_C,R1,421.906,58.399,43.506,22.258,98.026
P_A,EQ_A,R1,419.664,67.918,42.599,17.8,93.471
P_B,EQ_B,R1,433.225,64.006,,18.386,105.773
P_A,EQ_B,R2,439.434,62.244,56.502,18.108,108.125
P_C,EQ_B,R1,430.697,68.652,55.172,19.745,100.788
P_A,EQ_A,R1,469.48,66.044,52.744,20.592,104.231
P_B,EQ_C,R2,443.462,59.553,61.317,22.636,117.457
P_A,EQ_C,R1,430.538,55.582,49.755,21.546,99.224
P_B,EQ_A,R2,437.532,57.427,54.42,19.504,107.705
P_B,EQ_A,R2,442.577,58.429,58.257,19.538,109.236
P_A,EQ_B,R2,433.1,61.05,52.491,21.102,105.349
P_A,EQ_C,R1,426.358,58.613,45.218,20.449,95.693
P_A,EQ_C,R2,441.01,54.446,58.714,23.22,110.74
P_A,EQ_B,R2,445.511,67.144,58.625,19.12,108.595
P_B,EQ_B,R1,427.991,53.046,48.419,19.416,105.408
P_B,EQ_B,R1,428.089,57.858,50.485,20.35,107.111
P_A,EQ_B,R1,428.442,62.3,51.427,18.767,104.908
P_B,EQ_A,R1,,60.819,48.029,19.351,102.35
P_A,EQ_C,R2,440.7,58.167,54.636,23.435,110.306
P_B,EQ_B,R1,438.295,58.447,60.148,22.501,114.817
P_B,EQ_B,R2,435.234,58.601,55.725,19.77,114.471
P_B,EQ_A,R1,432.413,62.974,51.709,19.992,106.047
P_B,EQ_C,R1,430.743,64.637,51.98,,108.693
P_C,EQ_C,R1,434.207,65.529,53.971,22.962,100.315
P_A,EQ_A,R1,426.501,53.379,46.538,17.727,97.783
P_C,EQ_B,R1,432.852,67.353,52.4,19.736,102.778
P_B,EQ_A,R1,426.293,53.111,47.557,19.374,100.809
P_A,EQ_C,R2,444.686,52.847,58.325,21.405,107.699
P_A,EQ_A,R2,431.638,59.123,52.705,21.234,101.29
P_A,EQ_A,R2,435.873,61.644,53.794,20.818,100.144
P_A,EQ_B,R2,428.666,64.783,48.576,19.839,102.953
P_C,EQ_C,R2,433.453,64.142,48.394,20.131,99.153
P_B,EQ_A,R1,430.848,59.211,51.696,18.922,104.351
P_A,EQ_C,R1,429.846,62.692,48.547,22.279,102.5
P_B,EQ_C,R2,433.737,64.891,54.971,25.166,109.67
P_A,EQ_A,R2,437.562,72.34,55.249,17.307,104.828
P_C,EQ_C,R1,429.762,63.674,51.379,21.697,100.228
P_C,EQ_B,R2,430.36,59.222,50.935,21.507,100.914
P_B,EQ_A,R1,425.327,66.429,45.853,21.77,99.187
P_B,EQ_B,R1,431.762,63.437,46.895,21.063,105.28
P_A,EQ_C,R1,430.08,61.727,49.385,21.902,99.002
P_A,EQ_C,R2,436.208,62.684,52.698,22.964,102.095
P_A,EQ_A,R1,426.099,57.483,44.266,19.931,93.197
P_C,EQ_B,R1,430.964,58.486,47.207,20.146,96.93
P_A,EQ_A,R1,433.607,57.156,55.611,,102.746
P_A,EQ_B,R2,435.325,66.083,55.211,19.166,107.95
P_B,EQ_B,R2,441.586,62.258,55.192,18.772,110.616
P_A,EQ_B,R2,430.497,55.929,49.271,19.754,104.427
P_B,EQ_A,R1,430.209,64.051,51.825,19.923,105.237
P_A,EQ_A,R1,433.384,54.658,52.003,18.791,102.384
P_A,EQ_B,R2,432.635,62.321,50.883,21.67,102.245
P_B,EQ_C,R1,434.037,56.119,48.048,19.822,103.159
